datelementid,uid,name,formname,valuetype,categorycomboid,uid,name,categoryoptioncomboid,uid,name,HMIS-CODE,HMIS-NAME,UPHMIS-DHIS2-NAME
7269131,kUayBZ24jpO,Complicated pregnancies treated with Blood Transfusion,Number of Complicated pregnancies treated with Blood Transfusion,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v51,Number of Complicated pregnancies treated with Blood Transfusion,Complicated pregnancies treated with Blood Transfusion_
832,a1Itlc1Um1p,Women receiving post partum checkup within 48 hours after delivery,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v52,Women receiving 1st post partum checkups within 48 hours of delivery,Women receiving post partum checkup within 48 hours after delivery_
833,TdvhPgrXPfd,Women getting a post partum check up between 48 hours and 14 days,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v53,Women receiving 1st post partum checkup between 48 hours and 14 days,Women getting a post partum check up between 48 hours and 14 days_
7154158,K57GqAPepet,180 IFA tablets provided after delievery,Number of mothers provided full course of 18 IFA tablets after delivery,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v54,Number of mothers provided full course of 180 IFA tablets after delivery,180 IFA tablets provided after delievery_
7154541,aoQXEbrGmSD,360 calcium tablets provided after delivery,Number of mothers provided 36 Calcium tablets after delivery,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v55,Number of mothers provided 360 Calcium tablets after delivery,360 calcium tablets provided after delievery_
7154941,SuMsYClIvv8,Cases identified(RTI/STI),New RTI/STI cases identified - Male,INTEGER,7110308,meJdToNVgNw,RTI/STI,7110315,xcQBLS33Guo,Male, v56,New RTI/STI cases identified - Male,Cases identified(RTI/STI)_Male
7154941,SuMsYClIvv8,Cases identified(RTI/STI),New RTI/STI cases identified - Male,INTEGER,7110308,meJdToNVgNw,RTI/STI,7110316,GfsszYsauj2,Female, v57,New RTI/STI cases identified - Female,Cases identified(RTI/STI)_Female
1009,LAdrZuynw8X,RTI/STI treatment initiated,,INTEGER,776,vrzO8JErw4W,Gender,777,iRNhRMvoSCx,Male, v58,RTI/STI for which treatment initiated - Male,RTI/STI treatment initiated_Male
1009,LAdrZuynw8X,RTI/STI treatment initiated,,INTEGER,776,vrzO8JErw4W,Gender,778,wb51FJHqHxp,Female, v59,RTI/STI for which treatment initiated -Female,RTI/STI treatment initiated_Female
905,SCutWcJX88a,NSV/Conventional Vasectomy conducted,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v60,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,NSV/Conventional Vasectomy conducted_
906,jhdL4rNP5pA,Laparoscopic sterilizations conducted,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v61,Number of Laparoscopic sterilizations (excluding post abortion) conducted,Laparoscopic sterilizations conducted_
907,bOFAAIzcaGZ,Minilap (other than post-partum) sterlisations conducted,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v62,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,Minilap (other than post-partum) sterlisations conducted_
908,Xg1j0efNUrP,Minilap post partum (within 7 days of delivery) sterlizations conducted,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v63,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,Minilap post partum (within 7 days of delivery) sterlizations conducted_
7155187,n3L9KZq55UM,Post abortion sterilizations conducted(within 7 days of spontaneous or surgical abortion),Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v64,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,Post abortion sterilizations conducted(within 7 days of spontaneous or surgical abortion)_
7155778,A89WukjS845,Interval IUCD insertion(excluding PPIUCD/PAIUCD),Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v65,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),Interval IUCD insertion(excluding PPIUCD/PAIUCD)_
835,YyUc4SanMDt,Post partum IUCD insertions (within 48 hours of delivery),,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v66,Number of Postpartum (within 48 hours of delivery) IUCD insertions,Post partum IUCD insertions (within 48 hours of delivery)_
7269292,uTUcZv1fJfk,Post Abortion IUCD insertions (within 12 days),Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v67,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,Post Abortion IUCD insertions (within 12 days)_
1630754,NeNWp698eve,DMPA Acceptors,DMPA Acceptors,INTEGER,1626021,tVu0ghcjsGU,DMPA(inj.),1626024,e4vOZhidnTl,Dose 1, v68,Injectable Contraceptive-Antara Program- First Dose,DMPA Acceptors_Dose 1
1630754,NeNWp698eve,DMPA Acceptors,DMPA Acceptors,INTEGER,1626021,tVu0ghcjsGU,DMPA(inj.),1626023,JD3TbSsgoKa,Dose 2, v69,Injectable Contraceptive-Antara Program- Second Dose,DMPA Acceptors_Dose 2
1630754,NeNWp698eve,DMPA Acceptors,DMPA Acceptors,INTEGER,1626021,tVu0ghcjsGU,DMPA(inj.),1626022,gZiING8oxqo,Dose 3, v70,Injectable Contraceptive-Antara Program- Third Dose,DMPA Acceptors_Dose 3
1630754,NeNWp698eve,DMPA Acceptors,DMPA Acceptors,INTEGER,1626021,tVu0ghcjsGU,DMPA(inj.),1626027,uBLH63dNSeY,Dose 4, v71,Injectable Contraceptive-Antara Program- Fourth or more than fourth,DMPA Acceptors_Dose 4
836,Vq3loUlUTAy,IUCD removals,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v72,Number of IUCD Removals ,IUCD removals_
9080,d9t9HdctkFB,Cases with complications due toÂ  IUCD,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v73,Number of complications following IUCD Insertion,Cases with complications due toÂ  IUCD_
838,BpKWMLTSnyC,Oral Pills cycles distributed,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v74,Number of Combined Oral Pill cycles distributed,Oral Pills cycles distributed_
839,uYJ0kOlfdTG,Condom pieces distributed,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v75,Number of Condom pieces distributed,Condom pieces distributed_
840,DFDP0iJG63H,Centchroman (weekly) pills given,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v76,Number of Centchroman (weekly) pill strips distributed,Centchroman (weekly) pills given_
841,c8G5X4YikEJ,Emergency contraceptive pills distributed,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v77,Number of Emergency Contraceptive Pills (ECP) given,Emergency contraceptive pills distributed_
7156052,CmnJZ65Np2t,PTK used,Number of Pregnancy Test Kits (PTK) used,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v78,Number of Pregnancy Test Kits (PTK) used,PTK used_
842,GQHVHVJFf3g,Complications following sterilization,,INTEGER,776,vrzO8JErw4W,Gender,777,iRNhRMvoSCx,Male, v79,Complications following male sterilization,Complications following sterilisation_Male
842,GQHVHVJFf3g,Complications following sterilization,,INTEGER,776,vrzO8JErw4W,Gender,778,wb51FJHqHxp,Female, v80,Complications following female sterilization ,Complications following sterilisation_Female
843,zvreY4JzTG1,Failures following sterilization,,INTEGER,776,vrzO8JErw4W,Gender,777,iRNhRMvoSCx,Male, v81,Failures following male sterilization,Failures following sterilisation_Male
843,zvreY4JzTG1,Failures following sterilization,,INTEGER,776,vrzO8JErw4W,Gender,778,wb51FJHqHxp,Female, v82,Failures following female sterilization,Failures following sterilisation_Female
844,Thr3McSiJEb,Deaths following sterilization,,INTEGER,776,vrzO8JErw4W,Gender,777,iRNhRMvoSCx,Male, v83,Deaths following male sterilization,Deaths following sterilisation_Male
844,Thr3McSiJEb,Deaths following sterilization,,INTEGER,776,vrzO8JErw4W,Gender,778,wb51FJHqHxp,Female, v84,Deaths following female sterilization,Deaths following sterilisation_Female
1631032,FKYjvP13UuP,NB received vitamin K1 after delivery,Newborn received vitamin K1 after delivery,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v85,Child immunisation - Vitamin K1 (Birth Dose),NB received vitamin K1 after delivery_
845,tN6dkfe6JLE,BCG dose,Child immunisation-BCG,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v86,Child immunisation - BCG,BCG dose_<1year
846,qiRWCmiE6K4,DPT1 dose,Child immunisation - DPT1 dose,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v87,Child immunisation - DPT1,DPT1 dose_<1year
847,pg5aJ8UcVKt,DPT2 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v88,Child immunisation - DPT2,DPT2 dose_<1year
848,tb6oVuRxuAf,DPT3 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v89,Child immunisation - DPT3,DPT3 dose_<1year
849,vTbFjFnzhGc,Pentavalent 1 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v90,Child immunisation - Pentavalent 1,Pentavalent 1 dose_<1year
850,c3kHWdjQGuo,Pentavalent 2 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v91,Child immunisation - Pentavalent 2,Pentavalent 2 dose_<1year
851,OP5Q3Ga5V3T,Pentavalent 3 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v92,Child immunisation - Pentavalent 3,Pentavalent 3 dose_<1year
852,micSbSDTlSC,OPV 0 (birth dose),Child immunisation - OPV  (birth dose),INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v93,Child immunisation - OPV 0 (Birth Dose),OPV 0 (birth dose)_
853,FR5WIhyBOOg,OPV1 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v94,Child immunisation - OPV1,OPV1 dose_<1year
854,YXvXFTR6kqA,OPV2 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v95,Child immunisation - OPV2,OPV2 dose_<1year
855,tnqjGWO69kT,OPV3 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v96,Child immunisation - OPV3,OPV3 dose_<1year
856,ZrNicVLgWiz,Hepatitis birth dose,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v97,Child immunisation - Hepatitis-B0 (Birth Dose),Hepatitis birth dose_
857,ohTVakZvt02,Hepatitis B1 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v98,Child immunisation - Hepatitis-B1,Hepatitis B1 dose_<1year
858,sRpoLSnh6Bl,Hepatitis B2 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v99,Child immunisation - Hepatitis-B2,Hepatitis B2 dose_<1year
859,HwC8Sg6R6tl,Hepatitis B3 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v100,Child immunisation - Hepatitis-B3,Hepatitis B3 dose_<1year
1631036,FIBsmOHSeWL,Infants 0 to 11 months old who received f-IPV-1,Infants  to 11 months old who received f-IPV-1,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v101,Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),Infants 0 to 11 months old who received f-IPV-1_
1631037,lihGoPgibh6,Infants 0 to 11 months old who received f-IPV-2,Infants  to 11 months old who received f-IPV-2,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v102,Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2) ,Infants 0 to 11 months old who received f-IPV-2_
7156182,Lcmf4Uqin8P,Rotavirus 1,Child immunisation - Rotavirus 1,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v103,Child immunisation - Rotavirus 1,Rotavirus 1_
7156235,appoYYYOzWK,Rotavirus 2,Child immunisation - Rotavirus 2,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v104,Child immunisation - Rotavirus 2,Rotavirus 2_
7156474,cFgq87Hgh1V,Rotavirus 3,Child immunisation - Rotavirus 3,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v105,Child immunisation - Rotavirus 3,Rotavirus 3_
7157665,M34FAL69Kw4,Measles +rubella 1st dose(9-11months),Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v106,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,Measles +rubella 1st dose(9-11months)_
860,vb5ew798HYH,Measles 1 dose,,INTEGER,805,NSphYR3tjx9,Immunization,806,aRNxGm8EkXJ,<1year, v107,Child immunisation (9-11months) - Measles 1st dose,Measles 1 dose_<1year
862,VJWNzd9j4Mv,JE 1st dose (9-12 months),,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v108,Child immunisation (9-11months) - JE 1st dose,JE 1st dose (9-12 months)_
870,GJKYhq2wR9L,Fully immunised children (9-11 months),,INTEGER,776,vrzO8JErw4W,Gender,777,iRNhRMvoSCx,Male, v109,Children aged between 9 and 11 months fully immunized- Male,Fully immunised children (9-11 months)_Male
870,GJKYhq2wR9L,Fully immunised children (9-11 months),,INTEGER,776,vrzO8JErw4W,Gender,778,wb51FJHqHxp,Female, v110,Children aged between 9 and 11 months fully immunized - Female,Fully immunised children (9-11 months)_Female
7439642,ngBMbODsYtZ,Measles +rubella 1st dose(after 12 months),Measles +rubella 1st dose(after 12 months),INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v111,Child immunisation - Measles & Rubella (MR)- 1st Dose,Measles +rubella 1st dose(after 12 months)_
7158003,Vuc8MrzYoPf,Measles 1st dose(After 12 months),Child immunisation - Measles-1st dose,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v112,Child immunisation - Measles-1st dose,Measles 1st dose(After 12 months)_
7158722,hHCx0ekA7sE,JE 1st dose(after 12 month),Child immunisation - JE 1st dose,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v113,Child immunisation - JE 1st dose,JE 1st dose(after 12 month)_
